t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1576,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1577,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1578,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1579,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1580,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1581,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1582,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1583,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1584,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1585,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1586,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1587,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1588,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1589,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1590,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1591,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1592,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1593,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,0,3.5,7.0,0,0,0,3.5,0
1594,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1595,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1596,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1597,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1598,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1599,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1600,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1601,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1602,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1603,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1604,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1605,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1606,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1607,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1608,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1609,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1610,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1611,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1612,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1613,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1614,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1615,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1616,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1617,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1618,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1619,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1620,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1621,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1622,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1623,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1624,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1625,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1626,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1627,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1628,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1629,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1630,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1631,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1632,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1633,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1634,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1635,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1636,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1637,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1638,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1639,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1640,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1641,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1642,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1643,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1644,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1645,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1646,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1647,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1648,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1649,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1650,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1651,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1652,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1653,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1654,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1655,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1656,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1657,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1658,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1659,7.0,0,10.5,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1660,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1661,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1662,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1663,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1664,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1665,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1666,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1667,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1668,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1669,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1670,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1671,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1672,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1673,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1674,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1675,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1676,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1677,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1678,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1679,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1680,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1681,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1682,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1683,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1684,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1685,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1686,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1687,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1688,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
1689,7.0,0,7.0,10.5,0,0,3.5,0,0,0,0,0,3.5,3.5,7.0,0,0,0,3.5,0
