region,day,month,number
Urban Conurbation,Saturday,May,0.8755873795122147
Urban Conurbation,Sunday,May,0.630308830202604
Urban Conurbation,Monday,June,0.9872936955737621
Urban Conurbation,Tuesday,June,1.0462366027721957
Urban Conurbation,Wednesday,June,1.0332691631885402
Urban Conurbation,Thursday,June,1.0792446308033183
Urban Conurbation,Friday,June,1.0385740248363993
Urban Conurbation,Saturday,June,0.9035947673519864
Urban Conurbation,Sunday,June,0.702599453805328
Urban Conurbation,Monday,July,1.0067828826313088
Urban Conurbation,Tuesday,July,1.0261770004836965
Urban Conurbation,Wednesday,July,1.0632539904956144
Urban Conurbation,Thursday,July,1.0444302878741791
Urban Conurbation,Friday,July,1.056979422955136
Urban Conurbation,Saturday,July,0.9206501827574687
Urban Conurbation,Sunday,July,0.7084557168431078
Urban Conurbation,Monday,August,0.8476370331955381
Urban Conurbation,Tuesday,August,0.8145529498002883
Urban Conurbation,Wednesday,August,0.8676015662788785
Urban Conurbation,Thursday,August,0.8904181755169818
Urban Conurbation,Friday,August,0.9206501827574687
Urban Conurbation,Saturday,August,0.9417555463027142
Urban Conurbation,Sunday,August,0.719293606231207
Urban Conurbation,Monday,September,0.9990822770134488
Urban Conurbation,Tuesday,September,1.0356268794764776
Urban Conurbation,Wednesday,September,1.0869072087391147
Urban Conurbation,Thursday,September,1.0975169320348328
Urban Conurbation,Friday,September,1.034448021332509
Urban Conurbation,Saturday,September,0.872944455608801
Urban Conurbation,Sunday,September,0.6896320142216726
Urban Conurbation,Monday,October,0.9617200793860546
Urban Conurbation,Tuesday,October,1.0575498381860886
Urban Conurbation,Wednesday,October,1.0615427448027566
Urban Conurbation,Thursday,October,1.06667648188133
Urban Conurbation,Friday,October,1.06667648188133
Urban Conurbation,Saturday,October,0.8909885907479344
Urban Conurbation,Sunday,October,0.7004699036097717
Urban Conurbation,Monday,November,1.045057744628227
Urban Conurbation,Tuesday,November,1.1010535064667388
Urban Conurbation,Wednesday,November,1.0933909285309424
Urban Conurbation,Thursday,November,1.1263989565620653
Urban Conurbation,Friday,November,1.0863177796671304
Urban Conurbation,Saturday,November,0.8564404415932396
Urban Conurbation,Sunday,November,0.6625182769103932
Urban Conurbation,Monday,December,0.8869956841312663
Urban Conurbation,Tuesday,December,0.8989744039812705
Urban Conurbation,Wednesday,December,0.9423259615336668
Urban Conurbation,Thursday,December,0.9314880721455677
Urban Conurbation,Friday,December,0.9457484529193824
Urban Conurbation,Saturday,December,0.8356583133455339
Urban Conurbation,Sunday,December,0.6765124639097633
Rural Town and Fringe,Monday,January,1.0196422838103891
Rural Town and Fringe,Tuesday,January,1.0320165833711947
Rural Town and Fringe,Wednesday,January,1.0344914432833558
Rural Town and Fringe,Thursday,January,1.1013126609117068
Rural Town and Fringe,Friday,January,1.2003070573981522
Rural Town and Fringe,Saturday,January,0.9354970467969104
Rural Town and Fringe,Sunday,January,0.678111615932152
Rural Town and Fringe,Monday,February,1.112449530516432
Rural Town and Fringe,Tuesday,February,1.065869131455399
Rural Town and Fringe,Wednesday,February,1.065869131455399
Rural Town and Fringe,Thursday,February,1.1562899061032863
Rural Town and Fringe,Friday,February,1.1179295774647886
Rural Town and Fringe,Saturday,February,0.9617482394366197
Rural Town and Fringe,Sunday,February,0.8137869718309859
Rural Town and Fringe,Monday,March,1.0493406027563228
Rural Town and Fringe,Tuesday,March,1.1755584582765408
Rural Town and Fringe,Wednesday,March,1.0839886415265787
Rural Town and Fringe,Thursday,March,1.1112121005603512
Rural Town and Fringe,Friday,March,1.178033318188702
Rural Town and Fringe,Saturday,March,1.0493406027563228
Rural Town and Fringe,Sunday,March,0.7771060124185976
Rural Town and Fringe,Monday,April,1.0331715179968701
Rural Town and Fringe,Tuesday,April,1.2070716744913927
Rural Town and Fringe,Wednesday,April,1.168711345852895
Rural Town and Fringe,Thursday,April,1.2198584507042254
Rural Town and Fringe,Friday,April,1.1866128325508607
Rural Town and Fringe,Saturday,April,1.117564241001565
Rural Town and Fringe,Sunday,April,0.9078611111111111
Rural Town and Fringe,Monday,May,0.9676702256550052
Rural Town and Fringe,Tuesday,May,1.1087372406481901
Rural Town and Fringe,Wednesday,May,1.0790389217022565
Rural Town and Fringe,Thursday,May,1.1656590186278963
Rural Town and Fringe,Friday,May,1.1829830380130242
Rural Town and Fringe,Saturday,May,0.9330221868847492
Rural Town and Fringe,Sunday,May,0.8414523701347871
Rural Town and Fringe,Monday,June,1.132908372456964
Rural Town and Fringe,Tuesday,June,1.0996627543035993
Rural Town and Fringe,Wednesday,June,1.1712687010954617
Rural Town and Fringe,Thursday,June,1.178940766823161
Rural Town and Fringe,Friday,June,1.163596635367762
Rural Town and Fringe,Saturday,June,1.122678951486698
Rural Town and Fringe,Sunday,June,0.9436640845070422
Rural Town and Fringe,Monday,July,1.1656590186278963
Rural Town and Fringe,Tuesday,July,1.1186366802968346
Rural Town and Fringe,Wednesday,July,1.140910419506285
Rural Town and Fringe,Thursday,July,1.1508098591549294
Rural Town and Fringe,Friday,July,1.1631841587157352
Rural Town and Fringe,Saturday,July,1.1211115402089957
Rural Town and Fringe,Sunday,July,0.8909495683780099
Rural Town and Fringe,Monday,August,0.9156981674996213
Rural Town and Fringe,Tuesday,August,0.9379719067090715
Rural Town and Fringe,Wednesday,August,1.0988378009995456
Rural Town and Fringe,Thursday,August,1.0864635014387398
Rural Town and Fringe,Friday,August,1.0394411631076783
Rural Town and Fringe,Saturday,August,1.017167423898228
Rural Town and Fringe,Sunday,August,0.9305473269725881
Rural Town and Fringe,Monday,September,1.0331715179968701
Rural Town and Fringe,Tuesday,September,1.107334820031299
Rural Town and Fringe,Wednesday,September,1.117564241001565
Rural Town and Fringe,Thursday,September,1.2173010954616588
Rural Town and Fringe,Friday,September,1.1098921752738653
Rural Town and Fringe,Saturday,September,0.9385493740219092
Rural Town and Fringe,Sunday,September,0.8899596244131455
Rural Town and Fringe,Monday,October,1.1631841587157352
Rural Town and Fringe,Tuesday,October,1.1186366802968346
Rural Town and Fringe,Wednesday,October,1.1854578979251853
Rural Town and Fringe,Thursday,October,1.0938880811752232
Rural Town and Fringe,Friday,October,1.19535733757383
Rural Town and Fringe,Saturday,October,1.054290322580645
Rural Town and Fringe,Sunday,October,0.7424579736483415
Rural Town and Fringe,Monday,November,1.19428489827856
