,5395,8626,7560,8467,3849,8317,5450,9121,5545,8243,6266,9052,7900,9971,5246,8236,7024,8829,5658,8419,7741,9134,7739,9001,5439,8995,8086,8967,4526,8767,7940,3527,4297,1792,7016,2986,7973,890,1800,6578,171,7731,2980,7030,2018,5892,974,8084,3482,7504,2072,5129,545,7965,2925,7541,2129,6423,1103,114,7627,3009,5275,2337,6061,2470,5615,1169,3967,668,5921,3134,7017,3506,7680,3310,7850,2814,7108,3367,5738,6063,252,4357,26,4336,1192,7429,744,5796,1354,1415,2638,781,370,1718,3723,4296
3482,-60(1.0),-,-37(0.9),-33(0.91),-60(1.0),-60(0.99),27(1.08),-,-60(0.99),-60(0.93),-,-,-,-58(0.9),-,-,-,-,-33(0.9),-56(0.91),-47(0.9),-46(0.91),-60(1.01),-,-,-,-,-57(0.92),-,-60(0.97),-,-34(0.9),-60(0.99),-,-,-,-,-60(0.92),-,-,-,-,-,-60(0.94),-,-,-,-60(0.91),0.0,-,58(0.94),54(0.94),-,-,-,-,60(0.91),60(0.98),-,-,-,60(0.98),-,42(0.9),-,60(0.94),-,-,-,-,45(0.91),-,-,34(0.91),-,-,-,-,-,-,-,-,-,60(0.93),59(0.93),-,-,-,60(0.97),49(0.92),60(0.9),-,-,-,-,-,-,60(1.14)
7504,-60(0.97),-,-,-,-60(0.96),-60(0.95),51(1.09),-,-60(0.95),-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-60(0.97),-,-,-,-,-,-,-60(0.93),-,-,-60(0.95),-,-,-,-,-,-,-,-,-,-,-53(0.9),-,-,-,-,-,0.0,-,-,-,-,-,-,-,60(0.93),-,-,-,60(0.94),-,-,-,53(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,60(1.1)
2072,-,-,-,-,-,-,60(1.02),-,-,-,-,-,-,-,57(0.92),-,-,-,-,-,-,-,-,-,-,-,54(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,59(0.94),-,50(0.93),-,-,56(0.91),-,-,58(0.94),-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-54(0.92),-,-,-,-,-55(0.92),-,-52(0.92),-53(0.92),-56(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.0)
5129,-,-,-,-,-,-,60(1.12),-,-,-,-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,53(0.93),-,-,-,47(0.9),-,-,-,-,-,-,-,-,-,60(0.95),-,47(0.92),-,-,53(0.92),-,-,54(0.94),-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-49(0.92),-,-,-,-,-53(0.93),-,-54(0.93),-51(0.92),-53(0.93),-,-,-,-38(0.9),-,-,-,-,-,-,-,-,-,-,-,-2(0.96)
545,-60(0.92),-,-,-,-60(0.92),-60(0.92),40(1.03),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.97)
7965,-60(0.91),-,-,-,-60(0.91),-,60(1.11),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
2925,-,-,-,-,-,-,49(1.06),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-6(0.96)
7541,-,-,-,-,-,-,60(1.08),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-6(0.96)
2129,-,-,-,-,-,-,39(1.03),-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,-,-,-,60(0.91),46(0.9),-,-,60(0.9),-,-,-,-,-,-,-,-,-,60(0.91),-,60(0.91),-,-,60(0.91),-,-,60(0.91),-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-60(0.91),-,-60(0.91),-60(0.92),-60(0.91),-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,60(0.95)
6423,-,-,-,-,-47(0.9),-45(0.9),60(1.13),-,0(0.9),-,-,-,-,-,60(0.96),-,-,-,-,-,-,-,-,60(0.91),-,-,60(0.97),-,60(0.91),-,60(0.94),-,0(0.91),-,-,-,-,-,-,-,60(0.99),60(0.92),60(0.96),-,-,60(0.96),-,-,60(0.98),60(0.93),-,-,-,-,-,-,-,0.0,-60(0.91),-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-60(0.9),-60(0.96),-,-,-,-,-60(0.97),-,-60(0.96),-60(0.96),-60(0.98),-,-,-,-60(0.94),-57(0.9),-,-,-,-,-,-,-,-,-,-,60(1.2)
1103,-60(0.93),-,-,-,-60(0.93),-60(0.93),40(1.04),-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-60(0.91),-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),0.0,-,-,60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,-,60(0.99)
114,-,-,-,-,-,-,60(1.08),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2(0.96)
7627,-,-,-,-,-59(0.9),-,49(1.08),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.96)
3009,-,-,-,-,-,-,60(1.03),60(0.9),-,-,-,-,-,-,60(0.97),-,-,-,-,-,-,-,-,60(0.92),-,-,60(0.97),56(0.92),60(0.92),-,60(0.95),-,-,60(0.9),-,-,-,-,-,60(0.9),60(0.98),60(0.93),60(0.97),-,-,60(0.97),-,-,60(0.98),60(0.94),-,-,60(0.9),-,-,-,-,-,60(0.92),-,-,0.0,-60(0.91),-,-,-,-60(0.91),-,-60(0.9),-60(0.9),-,-60(0.91),-60(0.97),-,-,-,-,-60(0.98),-57(0.91),-60(0.97),-60(0.97),-60(0.98),-,-,-,-60(0.97),-60(0.91),-,-,-,-,-,-,-60(0.91),-58(0.91),-,-,0(0.98)
5275,-60(0.93),-,-,-,-60(0.94),-60(0.92),60(1.02),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.08)
2337,-,-,-,-,-,-,60(1.09),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47(0.91),-,-,-,-,-,-,-,42(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5(0.97)
6061,-,-,-,-,-,-,49(1.04),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1(0.97)
2470,-,-,-,-,-,-,60(1.11),-,-,-,-,-,-,-,60(0.94),-,-,-,-,-,-,-,-,-,-,-,60(0.93),-,-,-,55(0.91),-,-,-,-,-,-,-,-,-,60(0.95),-,56(0.92),-,-,60(0.93),-,-,60(0.94),53(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-60(0.92),-,-,-,-,-60(0.94),-,-60(0.93),-59(0.93),-60(0.94),-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-3(0.98)
5615,-60(0.93),-,-,-,-60(0.93),-60(0.92),39(1.05),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-60(0.9),-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-60(0.91),-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46(0.9),-,-,-,-,-,-,-,-,60(0.99)
1169,-,-,-,-,-,-,57(1.07),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5(0.96)
3967,-60(0.92),-,-,-,-60(0.92),-60(0.91),39(1.05),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.0)
668,-60(0.92),-,-,-,-60(0.92),-60(0.91),49(1.04),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.98)
5921,-,-,-,-,-,-,60(1.12),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49(0.92),-,-,-,-,-,-,-,45(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4(0.97)
3134,-60(0.93),-,-,-,-60(0.93),-60(0.91),55(1.08),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46(0.9),-,-,-,-,-,-,-,-,60(1.0)
7017,-60(0.99),-,-,-,-60(0.99),-60(0.97),42(1.1),-,-60(0.97),-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-60(1.0),-,-,-,-,-,-,-60(0.95),-,-,-60(0.98),-,-,-,-,-60(0.91),-,-,-,-,-,-50(0.93),-,-,-,-,-,-,-54(0.92),-49(0.92),-,-,-,-,-60(0.91),-60(0.96),-,-,-,-60(0.97),-,-,-,-60(0.92),-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,60(0.92),54(0.92),-,-,-,60(0.95),46(0.91),-,-,-,-,-,-,-,60(1.12)
3506,-,-,-,-,-,-,60(1.15),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59(0.92),-,-,-,-,-,-,-,34(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-34(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1(0.97)
7680,-60(0.9),-,-,-,-60(0.91),-,51(1.06),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.96)
3310,-60(0.91),-,-,-,-60(0.92),-59(0.93),40(1.09),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.04)
7850,-60(0.91),-,-,-,-60(0.91),-,60(1.08),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.98)
2814,-60(1.01),-,-,-,-60(1.0),-60(0.98),39(1.03),-,-60(0.99),-60(0.93),-,-,-,-,-,-,-,-,-,-55(0.9),-,-,-60(1.02),-,-,-,-,-44(0.9),-,-60(0.96),-,-,-60(1.0),-,-,-,-,-60(0.92),-,-,-,-,-,-60(0.93),-,-,-,-60(0.91),-,-,-55(0.92),-53(0.93),-,-,-,-,-60(0.91),-60(0.97),-,-,-,-60(0.98),-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,60(0.94),58(0.93),-,-,-,60(0.97),49(0.91),-,-,-,-,-,-,-,60(1.21)
7108,-60(0.93),-,-,-,-60(0.93),-50(0.9),58(1.09),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-57(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(1.02)
3367,-60(1.0),-,-,-,-60(0.99),-60(0.99),39(1.04),-,-60(0.98),-60(0.93),-,-,-,-,-,-,-,-,-,-49(0.9),-,-,-60(1.0),-,-,-,-,-,-,-60(0.96),-,-,-60(0.98),-,-,-,-,-60(0.91),-,-,-,-,-,-60(0.93),-,-,-,-60(0.9),-,-,-52(0.92),-54(0.93),-,-,-,-,-60(0.91),-60(0.96),-,-,-,-60(0.97),-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,60(0.93),59(0.92),-,-,-,60(0.96),49(0.91),-,-,-,-,-,-,-,60(1.26)
5738,-60(1.0),-,-,0(0.91),-60(0.99),-60(0.97),49(1.09),-,-60(0.98),-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-60(1.01),-,-,-,-,-,-,-60(0.95),-,0(0.9),-60(0.98),-,-,-,-,-60(0.91),0(0.91),-,-,-,0(0.9),-53(0.93),-,-,-,-,-,-,-53(0.92),-51(0.92),-,-,-,-,-60(0.92),-60(0.96),-,-,-,-60(0.97),-,-,-,-59(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,60(0.93),56(0.92),-,-,-,60(0.95),49(0.9),-,-,-,-,-,-,-,60(1.14)
6063,-60(1.01),-,-,-,-60(1.0),-60(0.98),40(1.05),-,-60(0.99),-60(0.93),-,-,-,-,-,-,-,-,-,-55(0.91),-,-45(0.9),-60(1.02),-,-,-,-,-55(0.91),-,-60(0.97),-,-,-60(1.0),-,-,-,-,-60(0.92),-,-,-,-,-,-60(0.94),-,-,-,-60(0.91),-,-,-56(0.93),-53(0.93),-,-,-,-,-60(0.91),-60(0.98),-,-,-,-60(0.98),-,-,-,-60(0.94),-,-,-,-,-,-,-,-34(0.9),-,-,-,-,-,-,-,0.0,-,60(0.94),57(0.93),-,-,-,60(0.97),48(0.91),60(0.9),-,-,-,-,-,-,60(1.17)
252,-,-,-,-,-,-,53(1.05),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.99)
4357,-,-,-,-,-,-,60(1.06),-,-,-,-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,60(0.92),52(0.91),-,-,60(0.92),-,-,-,-,-,-,-,-,-,60(0.94),-,60(0.92),-,-,60(0.93),-,-,60(0.93),60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.92),-,-,-,-,60(0.94),-,60(0.93),60(0.93),60(0.94),-,0.0,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,41(0.96)
26,-,-,-,-,-,-,60(1.06),-,-,-,-,-,-,-,60(0.93),-,-,-,-,-,-,-,-,-,-,-,58(0.92),-,-,-,55(0.9),-,-,-,-,-,-,-,-,-,60(0.94),-,55(0.92),-,-,57(0.92),-,-,59(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,54(0.92),-,-,-,-,58(0.93),-,59(0.92),56(0.92),57(0.93),-,-,0.0,-48(0.91),-,-,-,-,-,-,-,-,-,-,-,-4(0.94)
4336,-60(1.0),-,-,-,-60(1.0),-46(0.95),49(1.11),-,-60(0.98),-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-60(1.03),-,-,-,-,-,-,-60(0.94),-,-,-60(1.0),-,-,-,-,-57(0.91),-,-,-,-,-,-51(0.91),-,-,-,-,-,-,-,-38(0.9),-,-,-,-,-60(0.93),-60(0.94),-,-,-,-60(0.97),-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-48(0.91),0.0,-,-,59(0.94),-,-,-,-,-,-,-,-,60(1.24)
1192,-60(0.93),-,-,-,-60(0.93),-60(0.92),57(1.05),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.94),-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-57(0.9),-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,-,60(1.02)
7429,-60(0.91),-,-,-,-60(0.91),-,55(1.07),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,-,60(0.97)
744,-,-,-,0(0.91),-,-,60(1.14),-,-,-,-,-,-,-,60(0.96),-,-,-,-,-,-,-,-,60(0.91),-,-,60(0.96),-,45(0.91),-,60(0.93),0(0.9),-,-,-,-,-,-,0(0.92),-,60(0.98),60(0.91),60(0.95),-,-,60(0.96),-,-,60(0.97),60(0.93),-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,46(0.9),-,-,-,-,46(0.9),60(0.95),-,-,-,-,60(0.97),-,60(0.96),60(0.95),60(0.97),-,-,-,59(0.94),-,-,0.0,-,-,-,-,-,-,-,-,0(0.97)
5796,-,-,-,-,-,-,60(1.08),-,-,-,-,-,-,-,53(0.91),-,-,-,-,-,-,-,-,-,-,-,49(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.93),-,45(0.9),-,-,48(0.91),-,-,49(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46(0.91),-,-,-,-,49(0.91),-,49(0.91),49(0.9),48(0.91),-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-7(0.96)
1354,-,-,-,-,-,-,60(1.03),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.91),-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60(0.9),-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-2(0.98)
1415,-60(0.91),-,-,-,-60(0.92),-,59(1.12),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,48(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,60(1.02)
2638,-,-,-,-,-,-,50(1.05),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-3(0.95)
781,-60(0.93),-,-,-,-60(0.93),-59(0.91),53(1.1),-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,60(0.99)
370,-60(0.93),-,-,-,-60(0.94),-45(0.91),58(1.1),-,-60(0.92),-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.95),-,-,-,-,-,-,-,-,-,-60(0.93),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-58(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,60(1.03)
1718,-,-,-,-,-,-,60(1.04),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-59(0.91),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,60(0.99)
3723,-60(0.9),-,-,-,-60(0.91),-,49(1.05),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-60(0.91),-,-,-,-,-,-,-,-,-,-60(0.9),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,60(0.98)
4296,-4(0.97),-2(0.97),-7(0.97),-2(0.96),-6(0.99),0(0.98),60(1.35),60(1.01),-4(0.95),1(0.97),60(0.97),60(0.98),60(0.99),60(1.01),60(1.37),60(0.97),-2(0.96),60(0.96),-1(0.97),-1(0.98),-3(0.96),0(0.98),-2(0.96),60(1.05),0(0.96),60(0.95),60(1.12),60(1.79),60(1.04),0(0.98),60(1.14),60(0.95),60(0.98),60(0.97),60(0.94),60(0.99),60(0.99),60(0.96),60(1.01),60(0.99),60(1.18),60(1.03),60(1.15),-1(0.96),60(0.97),60(1.23),-6(0.95),-4(0.96),60(1.14),60(1.1),60(1.0),-2(0.96),60(0.97),60(0.99),-6(0.96),-6(0.96),60(0.95),60(1.2),60(0.99),-2(0.96),60(0.96),0(0.98),60(1.08),-5(0.97),-1(0.97),-3(0.98),60(0.99),-5(0.96),60(1.0),60(0.98),-4(0.97),60(1.0),60(1.12),-1(0.97),60(0.96),60(1.04),60(0.98),60(1.21),60(1.02),60(1.26),60(1.14),60(1.17),60(0.99),41(0.96),-4(0.94),60(1.24),60(1.02),60(0.97),0(0.97),-7(0.96),-2(0.98),60(1.02),-3(0.95),60(0.99),60(1.03),60(0.99),60(0.98),0.0
