ID,energyConsumed,initialSOC,finalSOC,chargesPerDay,tripsPerDay,tripLength
MC01,1750.5148443157132,0.5981060606060605,0.8854166666666666,0.8073394495412844,2.5018115942028984,11290.33091962346
GC08,1033.3474873393066,0.63714405360134,0.977386934673367,0.7316176470588235,4.675774134790529,6430.705492793144
ST1018,1529.6871794871795,0.6784037558685446,0.9286384976525826,0.6685499058380414,2.541899441340782,9383.654212454212
WC06,1058.1120607787275,0.6841329966329965,0.9591750841750841,0.7374301675977654,3.694736842105263,6104.511396011396
ST1012,1130.3684210526317,0.5516766766766771,0.7850350350350352,1.2153284671532847,5.4054514480408855,6904.584935392373
ST1048,1513.296139159949,0.7412464985994415,0.9390756302521002,1.3197781885397413,4.239208633093525,7548.931268561731
ST1064,1339.258467023173,0.6283524904214559,0.9772509578544061,0.6361974405850092,2.6928,7160.662507427213
ST1038,1259.1657541065206,0.6825572801182554,0.9615668883961569,0.855787476280835,3.841300191204589,7869.377799900448
ST1057,1280.0315664085765,0.409119496855346,0.8716981132075473,0.6148491879350348,3.9976190476190476,7204.073257891602
CRG07,767.0475,0.5416666666666667,0.8295454545454544,0.5276752767527675,3.4364261168384878,5381.438
WC04,1403.6442857142856,0.49502784407319095,0.8102625298329348,1.099737532808399,3.7037037037037037,8708.073571428571
WC01,2520.0669934640523,0.7269900497512434,0.9931592039800994,0.6077097505668935,1.3721973094170403,14708.679738562092
YH02,2658.908256880734,0.5585317460317462,0.8680555555555556,0.1822125813449024,0.5215311004784688,14439.892966360856
JD09,2289.4102564102564,0.6191700960219473,0.9231824417009603,0.8950276243093923,2.5138121546961325,16692.998534798535
ST1037,3242.9316734221193,0.39913159652638563,0.953239812959252,0.9139194139194139,3.1572212065813527,17589.586566299942
CC10,1131.310994764398,0.4054232804232803,0.8849206349206348,0.23076923076923078,1.4968652037617556,8461.405235602095
SS11,795.8848885623316,0.4581812652068129,0.7829987834549887,1.0036630036630036,7.138111888111888,5227.228753367622
ST1039,3570.985887096774,0.37514518002322883,0.8034262485482003,0.5649606299212598,1.9412915851272015,23840.7752016129
ST1044,1924.8258566978193,0.45762310606060624,0.9034090909090909,1.287020109689214,5.868372943327239,12407.395638629283
SS204,672.0801113516858,0.49634009009008967,0.9225788288288286,0.5431192660550459,5.545454545454546,4387.836993504485
ST1043,3407.842105263158,0.5501285347043708,0.9772922022279347,0.7568093385214008,1.9328214971209212,22450.910625620654
SS202,678.3540163540164,0.27739726027397277,0.8458904109589039,0.26838235294117646,4.052631578947368,4552.641173641174
ST1047,790.0180150671471,0.5459349593495936,0.8542682926829267,0.7663551401869159,5.706542056074766,4867.728136259417
ST1041,2225.545221843003,0.2632219902574808,0.7400835073068895,0.9071969696969697,4.4393939393939394,12734.668941979522
CC09,1768.7028270874425,0.6266905330151149,0.9640015910898968,0.7645985401459854,2.5140495867768595,10632.209072978303
WC03,1668.6049222797928,0.5127118644067791,0.9172719935431798,0.7648148148148148,4.328971962616823,9067.352763385146
SS208,1152.8322534197264,0.21467991169977924,0.8013245033112585,0.27911275415896486,2.806060606060606,6626.277897768178
ST1009,1944.201793721973,0.4516885553470925,0.8122263914946841,1.0171755725190839,3.4016949152542373,12400.615844544096
GC11,1387.2624505928854,0.3343253968253968,0.8819444444444448,0.3775280898876405,2.7863436123348015,8491.597628458498
ST1058,3188.5804816223067,0.5693565400843887,0.9653217299578057,1.1575091575091576,2.64321608040201,18946.99556400507
SS201,941.5332975295381,0.45749999999999985,0.9400000000000003,0.3853564547206166,3.658153241650295,5834.998925886144
ST1065,6823.8793774319065,0.48188976377952764,0.978215223097113,1.165137614678899,1.6852459016393442,31628.053501945524
SS210,781.1618578465869,0.2687500000000001,0.7916666666666666,0.22018348623853212,2.764591439688716,5564.4187192118225
YH05,2639.9447821681865,0.5207650273224049,0.9124316939890705,1.1172161172161172,3.6153846153846154,15185.775075987842
YH09,2053.229019607843,0.49124809741248077,0.9726027397260274,0.43538767395626243,2.5705645161290325,12663.595294117647
ST1063,1881.3498622589532,0.28285714285714275,0.9204761904761907,0.32771535580524347,2.182364729458918,11059.987144168963
SS207,1852.1373926619829,0.5577438370846723,0.9378349410503756,1.1984585741811176,4.424870466321243,9951.569476971117
SS212,575.3531317494601,0.4992492492492493,0.861111111111111,0.44488977955911824,5.0417422867513615,4036.6915046796257
ST1045,2007.9084989718986,0.3907337128399749,0.8578431372549015,0.96875,5.373848987108656,14418.353324194653
YH06,970.5172074729597,0.49164467897977143,0.8955584872471415,0.6941391941391941,5.04297520661157,6170.459849229761
ST1055,2697.080325960419,0.5253222836095767,0.9168201350521786,0.9963302752293578,3.1350364963503647,17365.74621653085
ST1050,1842.2073474470735,0.6023662551440325,0.9598765432098761,0.5923217550274223,2.7174280879864634,10879.916562889166
YH04,1606.1836434867778,0.4899344569288396,0.9389044943820225,0.652014652014652,3.380794701986755,10034.301175318315
ST1053,2394.1154239019406,0.5215053763440859,0.8890775325410305,1.0807339449541284,3.5342960288808665,14438.222676200205
JD10,2217.5186368477102,0.3433503836317132,0.8414322250639388,0.71875,3.6254826254826256,12850.533546325878
ST1070,1732.1563539587492,0.568840579710145,0.9241545893719809,0.6412639405204461,2.5431472081218276,10981.079174983366
YH03,1372.737061769616,0.46848013816925727,0.878238341968912,0.37115384615384617,2.044368600682594,8059.162771285476
ST1071,2899.1623815967523,0.3580968280467445,0.8683917640511976,1.1519230769230768,4.263461538461539,19750.963013080738
YH12,806.2370749883559,0.3830906148867309,0.8357605177993529,0.37937384898710863,3.689003436426117,5647.846297158826
SW04,2994.117004680187,0.5795059151009044,0.9542449547668755,0.958,2.1989708404802744,17624.91419656786
ST1083,2810.1867007672636,0.49928160919540227,0.9705459770114941,0.5,1.7455357142857142,18882.340153452686
SW01,868.8811802232855,0.5762411347517733,0.9367612293144209,0.5465116279069767,4.8604651162790695,5271.154704944179
SW11,1374.592546583851,0.35123042505592844,0.7511185682326624,0.2985971943887776,1.6035856573705178,8033.096894409938
ST1096,1074.9327862446269,0.6140850417615793,0.9312832194381168,0.8491295938104448,4.949709864603482,6478.450175849941
BL04,1215.8666035950805,0.42493638676844764,0.9106234096692111,0.51171875,4.202783300198807,7988.9489120151375
ST1054,879.4105633802817,0.24171270718232035,0.5847145488029466,0.34541984732824427,2.762645914396887,4702.421126760563
SW05,723.1137420718816,0.5717418546365916,0.8869047619047615,0.5155038759689923,4.583333333333333,5038.646088794926
SS206,1342.0515891294335,0.42542918454935624,0.7764663805436322,0.8910133843212237,4.199226305609284,9079.403500690925
ST1099,1431.3588210166595,0.39456181533646284,0.8243348982785603,0.8711656441717791,4.787321063394683,9397.138829560017
ST1074,4065.855737704918,0.5690476190476189,0.9707671957671964,1.3125,3.1704781704781704,23396.15213114754
