t,lf,lm,bl
689,0.06917324526127087,0.05500003874608295,0.055
690,0.0691429673965507,0.05500003696693904,0.055
691,0.06914456678862616,0.05500003686999377,0.055
692,0.06940344464155021,0.0550000386472168,0.055
693,0.06934902492937586,0.05500003578429465,0.055
694,0.06931642432576228,0.0550000279975216,0.055
695,0.06784857095725323,0.0550000317207647,0.055
696,0.06574085114919179,0.05500002309548019,0.055
697,0.06705825968480936,0.05500002953677683,0.055
698,0.06861345304874784,0.055000026294087054,0.055
699,0.06936623376190003,0.05500004059543874,0.055
700,0.0693677815216304,0.055000041591987375,0.055
701,0.06907284697521146,0.055000040682410344,0.055
702,0.06895440034860087,0.055000038148084344,0.055
703,0.06844776124779005,0.05500004097993256,0.055
704,0.06898782073758047,0.055000039484983936,0.055
705,0.06891697922106335,0.0550000405366827,0.055
706,0.06874092918601937,0.05500003950291041,0.055
707,0.06874092918601937,0.05500003950291041,0.055
708,0.06803026408075868,0.055000050368902355,0.055
709,0.06878083506757263,0.05500013745820446,0.055
710,0.06805374822370246,0.05500014248504404,0.055
711,0.06813202919297845,0.05500016047377071,0.055
712,0.06822704306690387,0.05500018318576161,0.055
713,0.06885687670230792,0.14687929051610288,0.055
714,0.06880066911308272,0.1383984077266968,0.055
715,0.0688849422623104,0.1516235409624094,0.055
716,0.06891889526940737,0.17673704259787573,0.055
717,0.06886048115918376,0.1561035943678506,0.055
718,0.06922431364001996,0.11753933902513825,0.055
719,0.06922445099158485,0.06566258261691803,0.055
720,0.06923877734082237,0.11749055998315078,0.055
721,0.06916835967709176,0.05504439519390048,0.055
722,0.0692182294236738,0.09196161143085368,0.055
723,0.0692747773040619,0.09169678868137351,0.055
724,0.06921291067123983,0.055000875561060716,0.055
725,0.06918720132965174,0.0550008685421428,0.055
726,0.06887389261052254,0.05500027296761983,0.055
727,0.06905210917042875,0.055039060063171025,0.055
728,0.06913197955923701,0.05501955399983818,0.055
729,0.0693691466305409,0.05500350952064303,0.055
730,0.06944740660677823,0.055003803335536304,0.055
731,0.06945299166403515,0.05500380870022929,0.055
732,0.06937179130068732,0.05500580901098295,0.055
733,0.0694339487925382,0.05500582075445175,0.055
734,0.06944191704751382,0.055005796947128496,0.055
735,0.06942520541250151,0.055005813233052536,0.055
736,0.06934344773371598,0.05500583521247327,0.055
737,0.06945369515681582,0.05500496517014268,0.055
738,0.06944911571781953,0.0550050621526823,0.055
739,0.06944780678729215,0.0550050857460993,0.055
740,0.0693646591559205,0.05500571691078007,0.055
741,0.06934308022878126,0.055005733202885,0.055
742,0.06934826538681246,0.05500570757586066,0.055
743,0.06934826538681246,0.05500570757586066,0.055
744,0.06945377398470695,0.055005280967003946,0.055
745,0.06945343004395077,0.05500528053139244,0.055
746,0.06942272752642786,0.05500016855532391,0.055
747,0.0694631823159339,0.05500014548243941,0.055
748,0.06946313535977672,0.055000145531160276,0.055
749,0.06937434160221069,0.0550001752758218,0.055
750,0.06933128573819884,0.05500013548366563,0.055
751,0.06935421943126314,0.055000142523352565,0.055
752,0.06934911877440164,0.05500014254882,0.055
